"Map Symbol","Source","Well Type","Well Type - Name","Hole Direction","Production ID","Entity Type","Primary API","Operator Name","Original Operator Name","Lease Name","Well Num","Location","Field Name","TX Survey","TX Blk","TX Sec","County Name","State","Prod Zone Name","Play Name","Play Type","Lower Perf","Upper Perf","TD","TVD","Status Name","Comp Date","First Prod Date","Last Prod Date","Max IP - Oil","Max IP - Gas","Max IP - Water","Max IP Date - Oil","Max IP Date - Gas","Max IP Date - Water","Oil Mo 2","Gas Mo 2","Wtr Mo 2","Oil Mos 2+3","Gas Mos 2+3","Wtr Mos 2+3","N Months Mos 2+3","Oil Mos 2 thru 4","Gas Mos 2 thru 4","Wtr Mos 2 thru 4","N Months Mos 2 thru 4","Oil Mos 2 thru 7","Gas Mos 2 thru 7","Wtr Mos 2 thru 7","N Months Mos 2 thru 7","Oil Mos 2 thru 13","Gas Mos 2 thru 13","Wtr Mos 2 thru 13","N Months Mos 2 thru 13","Oil Mos 2 thru 25","Gas Mos 2 thru 25","Wtr Mos 2 thru 25","N Months Mos 2 thru 25","Oil Cum","Gas Cum","Wtr Cum","Oil Last 12 Mos","Gas Last 12 Mos","Wtr Last 12 Mos"
"O","PI","B7","OIL WELL","HORIZONTAL","142080047768N 04SA","ALLOCATED","42317405240100","QEP ENERGY CO","","UNIVERSITY 7-0213","N 04SA","SEC:16 BLK:7 SRV:UNIVERSITY LANDS ABS:U22","SPRABERRY","UNIVERSITY LANDS","7","16","MARTIN","TEXAS","SPRABERRY","WOLFCAMP MIDLAND","SHALE (SHALE)","19475","9577","19590","9271","ACTIVE","2017-04-01","2017-02-01","2021-05-31","1392","","1327","2017-04-01","","2017-04-01","37564","27487","48008","64061","46871","81886","2","81421","62041","103400","3","121484","105611","152497","6","170990","189943","209027","12","224777","328088","251615","24","287878","606044","299492","23462","120337","23712"
"O","PI","B7","OIL WELL","HORIZONTAL","142080047768N 05SC","ALLOCATED","42317405260000","QEP ENERGY CO","","UNIVERSITY 7-0213","N 05SC","SEC:16 BLK:7 SRV:UNIVERSITY LANDS ABS:U22","SPRABERRY","UNIVERSITY LANDS","7","16","MARTIN","TEXAS","SPRABERRY","WOLFCAMP MIDLAND","SHALE (SHALE)","19637","9760","19755","9405","ACTIVE","2017-02-20","2017-02-01","2021-05-31","1977","","2528","2017-02-20","","2017-02-20","34464","18287","39733","70652","40177","77302","2","96041","57046","101017","3","154828","104775","155148","6","228603","193662","217796","12","314199","341728","267912","24","436987","617878","342479","43670","104767","23707"
"O","PI","B7","OIL WELL","HORIZONTAL","142080047768N 06SA","ALLOCATED","42317405250000","QEP ENERGY CO","","UNIVERSITY 7-0213","N 06SA","SEC:16 BLK:7 SRV:UNIVERSITY LANDS ABS:U22","SPRABERRY","UNIVERSITY LANDS","7","16","MARTIN","TEXAS","SPRABERRY","WOLFCAMP MIDLAND","SHALE (SHALE)","19481","9520","19582","9214","ACTIVE","2017-03-24","2017-02-01","2021-05-31","1519","","1507","2017-03-24","","2017-03-24","37563","28207","36137","60518","44906","56031","2","78218","59999","69825","3","119516","102013","101955","6","173578","176682","143753","12","243728","301002","196748","24","333108","468544","289613","32435","54624","41669"
"O","PI","B0","ACTIVE PRODUCING-GENERAL","HORIZONTAL","142080047768N 08MS","ALLOCATED","42317401960000","QEP ENERGY CO","","UNIVERSITY 7-0213","N 08MS","SEC:13 BLK:7 SRV:UNIVERSITY LANDS ABS:U19","SPRABERRY","UNIVERSITY LANDS","7","13","MARTIN","TEXAS","SPRABERRY","WOLFCAMP MIDLAND","SHALE (SHALE)","18898","8873","19305","8702","ACTIVE","2015-11-19","2015-11-01","2021-05-31","972","","1750","2016-01-01","","2016-01-01","21577","16759","34535","46904","41721","69999","2","67123","64739","94280","3","113170","123070","137806","6","176654","204734","188449","12","216849","229359","237318","24","330151","305408","372698","6732","15179","33182"
"O","PI","B7","OIL WELL","HORIZONTAL","142080047768N 08SS","ALLOCATED","42317401970000","QEP ENERGY CO","","UNIVERSITY 7-0213","N 08SS","SEC:13 BLK:7 SRV:UNIVERSITY LANDS ABS:U19","SPRABERRY","UNIVERSITY LANDS","7","13","MARTIN","TEXAS","SPRABERRY","WOLFCAMP MIDLAND","SHALE (SHALE)","","","19711","9425","ACTIVE","2015-12-08","2015-11-01","2021-05-31","1519","","1384","2015-12-08","","2015-12-08","36084","24291","32488","70835","50432","63767","2","94970","71456","83086","3","154283","126599","130536","6","232045","219205","194148","12","276240","272185","231014","24","449298","435471","351770","42415","39427","32932"
"O","PI","B0","ACTIVE PRODUCING-GENERAL","HORIZONTAL","142080047848S 03SS","ALLOCATED","42317403920000","QEP ENERGY CO","","UNIVERSITY 7-1726","S 03SS","SEC:17 BLK:7 SRV:UNIVERSITY LANDS ABS:U23","SPRABERRY","UNIVERSITY LANDS","7","17","MARTIN","TEXAS","SPRABERRY","WOLFCAMP MIDLAND","SHALE (SHALE)","16989","9628","17109","9501","ACTIVE","2016-06-16","2016-06-01","2021-05-31","1353","","1647","2016-06-28","","2016-06-28","23320","16308","24498","38427","26752","38119","2","46169","35747","42770","3","69023","67193","60229","6","98910","110828","98825","12","142186","159394","156450","24","228158","257345","215631","19554","17989","12985"
"O","PI","B0","ACTIVE PRODUCING-GENERAL","HORIZONTAL","142080047848S 04SS","ALLOCATED","42317403930000","QEP ENERGY CO","","UNIVERSITY 7-1726","S 04SS","SEC:17 BLK:7 SRV:UNIVERSITY LANDS ABS:U23","SPRABERRY","UNIVERSITY LANDS","7","17","MARTIN","TEXAS","SPRABERRY","WOLFCAMP MIDLAND","SHALE (SHALE)","16789","9644","16910","9342","ACTIVE","2016-06-16","2016-06-01","2021-05-31","1059","","902","2016-07-16","","2016-07-16","15536","14118","10885","25597","27332","16922","2","37239","34445","27424","3","70836","59667","56062","6","108735","105285","88941","12","145826","177050","135589","24","211842","366283","173273","15805","62856","9141"
"O","PI","B0","ACTIVE PRODUCING-GENERAL","HORIZONTAL","142080047848S 06SS","ALLOCATED","42317404150000","QEP ENERGY CO","","UNIVERSITY 7-1726","S 06SS","SEC:17 BLK:7 SRV:UNIVERSITY LANDS ABS:U23","SPRABERRY","UNIVERSITY LANDS","7","17","MARTIN","TEXAS","SPRABERRY","WOLFCAMP MIDLAND","SHALE (SHALE)","16961","9633","17078","9500","ACTIVE","2016-08-13","2016-08-01","2021-05-31","1126","","1569","2016-08-23","","2016-08-23","25294","20689","27815","43858","38379","48239","2","59572","54990","64533","3","96970","102057","98248","6","139078","184283","125008","12","181312","268684","146370","24","257558","428521","201887","19332","61077","10300"
"O","PI","B7","OIL WELL","HORIZONTAL","142080047848S 07SS","ALLOCATED","42317404160000","QEP ENERGY CO","","UNIVERSITY 7-1726","S 07SS","SEC:17 BLK:7 SRV:UNIVERSITY LANDS ABS:U23","SPRABERRY","UNIVERSITY LANDS","7","17","MARTIN","TEXAS","SPRABERRY","WOLFCAMP MIDLAND","SHALE (SHALE)","16883","9475","17002","9360","ACTIVE","2016-09-10","2016-08-01","2021-05-31","909","","1157","2016-09-10","","2016-09-10","20553","18990","19533","34220","32164","32518","2","45788","44530","42878","3","73454","79018","65090","6","108391","133174","103766","12","149784","191452","160547","24","238007","395553","236938","27104","80611","20596"
"O","PI","B7","OIL WELL","HORIZONTAL","142080047848S 08SS","ALLOCATED","42317404170000","QEP ENERGY CO","","UNIVERSITY 7-1726","S 08SS","SEC:17 BLK:7 SRV:UNIVERSITY LANDS ABS:U23","SPRABERRY","UNIVERSITY LANDS","7","17","MARTIN","TEXAS","SPRABERRY","WOLFCAMP MIDLAND","SHALE (SHALE)","17056","9643","17173","9495","ACTIVE","2016-09-13","2016-08-01","2021-05-31","1074","","914","2016-09-13","","2016-09-13","22804","17011","18243","39322","31067","31476","2","53305","44270","42032","3","86687","80436","64006","6","127134","123322","85087","12","175858","186643","107019","24","249955","296243","147526","17993","27578","8280"
